Brand,Caliber,Grain,Description,BC
Nosler,.30 Cal,168,Long Range Accubond,0.490
Nosler,.375 Cal,260,Accubond,0.465
Nosler,.338 Cal,300,Accubond,0.768
Nosler,.270 Cal,150,AccuBond Long Range,0.625
Nosler,6.5mm,140,AccuBond,0.509
Nosler,.22 Cal,70,AccuBond SP,0.350
Nosler,.270 Cal,150,Ballistic Tip Hunting,0.525
Nosler,7mm,160,Accubond,0.531
Nosler,.30 Cal,180,Accubond,0.507
Nosler,.270 Cal,130,ACCUBOND,0.488
Nosler,.30 Cal,165,ACCUBOND,0.475
Nosler,6.5mm,123,Custom Competition HPBT,0.510
Nosler,6.5mm,140,HPBT Custom Competition,0.585
Nosler,.30 Cal,155,HPBT Custom Competition,0.504
Nosler,.22 Cal,60,Ballistic Tip Varmint,0.287
Nosler,.30 Cal,150,Accubond,0.435
Nosler,.30 Cal,150,Ballistic Tip Hunting,0.415
Nosler,6mm,95,Ballistic Tip Hunting,0.379
Nosler,6mm,90,Ballistic Tip Hunting,0.365
Nosler,.30 Cal,180,Ballistic Tip Hunting,0.507
Nosler,.22 Cal,55,FB Tipped Varmageddon,0.255
Nosler,.270 Cal,130,BT Hunting,0.460
Nosler,6.5mm,140,BT Hunting,0.509
Nosler,.30 Cal,165,Ballistic Tip Hunting,0.475
Speer,.30 Cal,200,Hot-Cor,0.480
Speer,.30 Cal,165,Hot-Cor,0.404
Speer,.375 Cal,270,Boat Tail SP,0.480
Speer,.25 Cal,100,Varmint HP SP,0.356
Speer,6mm,100,Boat Tail SP,0.404
Speer,.303 Cal,180,Hot-Cor SPRN,0.375
Speer,.30 Cal,180,Boat-Tail SP,0.480
Balistix,.25 Cal,100,HunTac,0.380
Balistix,6.5mm,125,HunTac,0.450
Balistix,6mm,85,Target,0.280
Balistix,9.3mm,230,UltraHunt,0.390
Balistix,7mm,140,HunTac,0.485
Balistix,.375 Cal,250,Ultra Hunt,0.440
Balistix,.308 Cal,175,Target,0.496
Balistix,.308 Cal,175,HunTac,0.496
Balistix,6.5mm,115,HunTac,0.410
Balistix,.338 Cal,250,HunTac,0.650
Balistix,.303 Cal,170,HunTac,0.380
Balistix,.30 Cal,165,HunTac,0.410
Balistix,.30 Cal,155,HunTac,0.390
Balistix,.277 Cal,130,HunTac,0.460
Balistix,6.5mm,120,HunTac,0.430
Balistix,6mm,85,HunTac,0.280
Balistix,6mm,75,HunTac,0.250
Balistix,.375 Cal,250,Target,0.440
Balistix,.30 Cal,165,Target,0.410
Balistix,.338 Cal,250,Target,0.650
Balistix,.30 Cal,155,Target,0.390
Balistix,.277 Cal,130,Target,0.460
Balistix,7mm,140,Target,0.485
Balistix,6mm,75,Target,0.250
Frontier,.25 Cal,48,RN CMJ,0.140
Frontier,.40 Cal,180,RNFP CMJ,0.180
Frontier,.45 Cal,230,RN CMJ,0.210
Frontier,.357 Cal,158,FP CMJ,0.190
Frontier,9mm,147,RN CMJ,0.210
Frontier,9mm,124,RN CMJ,0.140
Frontier,9mm,115,RN CMJ,0.130
Lapua,.308 Cal,175,MaxRT BCI .581,0.581
Lapua,6.5mm,144,MaxRT BCI .670,0.670
Lapua,7mm,180,Scenar-L OTM,0.675
Lapua,6mm,105,Scenar-L OTM,0.500
Lapua,6.5mm,108,HPBT Scenar,0.456
Lapua,.308 Cal,220,Scenar-L OTM,0.608
Lapua,.338 Cal,250,Scenar OTM,0.675
Lapua,.338 Cal,300,OTM Scenar,0.768
Lapua,6mm,105,Scenar,0.475
Lapua,6.5mm,136,Scenar-L OTM,0.610
Lapua,.22 Cal,69,Scenar-L,0.301
Lapua,.308 Cal,185,Scenar,0.475
Lapua,6.5mm,120,OTM Scenar-L,0.465
Lapua,6.5mm,139,OTM Scenar,0.527